City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pangnirtung,66.1451,-65.7125,-12.0,40,20,0.0,CA,1680531946
1,guerrero negro,27.9769,-114.0611,13.51,81,98,8.0,MX,1680531946
2,castro,-24.7911,-50.0119,20.31,60,0,1.71,BR,1680531946
3,victoria,22.2855,114.1577,22.2,94,98,0.45,HK,1680531673
4,jamestown,42.097,-79.2353,11.08,53,0,6.17,US,1680531946
5,khandyga,62.6667,135.6,-15.99,93,100,1.93,RU,1680531946
6,atuona,-9.8,-139.0333,26.28,83,98,6.03,PF,1680531946
7,port alfred,-33.5906,26.891,22.88,68,86,4.02,ZA,1680531946
8,puerto ayora,-0.7393,-90.3518,28.98,85,68,0.45,EC,1680531947
9,cherskiy,68.75,161.3,-29.1,95,41,3.32,RU,1680531947
10,punta arenas,-53.15,-70.9167,11.01,72,98,5.8,CL,1680531776
11,santa fe,-31.6333,-60.7,23.9,63,100,3.58,AR,1680531947
12,killybegs,54.6333,-8.45,11.84,69,100,8.29,IE,1680531947
13,gua musang,4.8823,101.9644,22.83,99,100,1.23,MY,1680531947
14,tuatapere,-46.1333,167.6833,9.91,89,57,1.37,NZ,1680531947
15,kita,13.0349,-9.4895,41.15,4,4,1.68,ML,1680531947
16,busselton,-33.65,115.3333,14.92,87,0,4.25,AU,1680531947
17,vaini,-21.2,-175.2,22.09,94,20,1.03,TO,1680531948
18,lesnoy,57.6198,63.0784,8.57,63,23,2.46,RU,1680531948
19,saint-philippe,-21.3585,55.7679,25.77,82,100,2.22,RE,1680531949
20,mataura,-46.1927,168.8643,10.26,77,95,0.58,NZ,1680531949
21,rikitea,-23.1203,-134.9692,26.73,81,25,6.35,PF,1680531949
22,weihai,37.5017,122.1136,10.09,69,100,2.39,CN,1680531949
23,druzhba,52.0428,33.9453,11.33,55,100,2.27,UA,1680531949
24,luanda,-8.8368,13.2343,30.0,66,75,7.2,AO,1680531667
25,cuamba,-14.8031,36.5372,25.08,76,58,1.27,MZ,1680531949
26,beira,-19.8436,34.8389,29.05,58,20,5.14,MZ,1680531949
27,valenca,-13.3703,-39.0731,30.2,57,44,2.91,BR,1680531950
28,weligama,5.9667,80.4167,26.84,77,100,1.15,LK,1680531950
29,diego de almagro,-26.3667,-70.05,23.88,50,0,1.94,CL,1680531955
30,huarmey,-10.0681,-78.1522,26.43,75,100,1.99,PE,1680531955
31,kirakira,-10.4544,161.9205,26.89,85,42,2.91,SB,1680531955
32,north platte,41.1239,-100.7654,6.73,47,0,10.8,US,1680531956
33,kahului,20.8947,-156.47,23.25,83,40,2.06,US,1680531957
34,shipunovo,52.1582,82.2173,-0.79,67,1,1.79,RU,1680531957
35,vardo,70.3705,31.1107,-3.01,86,40,15.95,NO,1680531957
36,lorengau,-2.0226,147.2712,26.85,76,72,1.1,PG,1680531957
37,kapaa,22.0752,-159.319,22.18,89,100,2.57,US,1680531957
38,netanya,32.3329,34.8599,27.01,59,5,5.43,IL,1680531957
39,bethel,41.3712,-73.414,8.59,47,0,4.12,US,1680531800
40,arraial do cabo,-22.9661,-42.0278,26.98,65,0,4.63,BR,1680531958
